uri|display_name
"http://vivo.ufl.edu/individual/n1270839144"|"Luebbert,Anthony"
"http://vivo.ufl.edu/individual/n1822935967"|"West,Aaron James"
"http://vivo.ufl.edu/individual/n1631247449"|"Dascomb,Amanda E"
"http://vivo.ufl.edu/individual/n815589561"|"Lu,Hao"
"http://vivo.ufl.edu/individual/n143632369"|"Hiemenz,Elizabeth L"
"http://vivo.ufl.edu/individual/n171300748"|"Johnson,Timothy R"
"http://vivo.ufl.edu/individual/n1399748696"|"Drake,David A"
"http://vivo.ufl.edu/individual/n107135864"|"Miliotis,Abraham"
"http://vivo.ufl.edu/individual/n265612432"|"Steep,Angela E"
"http://vivo.ufl.edu/individual/n1348026796"|"Fischer,Nicholas R"
"http://vivo.ufl.edu/individual/n194438910"|"Barkley,Sharon F"
"http://vivo.ufl.edu/individual/n1530747655"|"Behdani,Behnam"
"http://vivo.ufl.edu/individual/n283219852"|"Lee,Myong Hwa"
"http://vivo.ufl.edu/individual/n983942271"|"Smith,Justin M"
"http://vivo.ufl.edu/individual/n1136663988"|"Fischer Dorantes,Eric"
"http://vivo.ufl.edu/individual/n1695710775"|"Njoora,Timothy K"
"http://vivo.ufl.edu/individual/n630992382"|"Rodriguez,Juan P"
"http://vivo.ufl.edu/individual/n3362025"|"Matta,Sameer"
"http://vivo.ufl.edu/individual/n1324335908"|"McCafferty,Kelly"
"http://vivo.ufl.edu/individual/n622338788"|"Richards,Emerson S"
"http://vivo.ufl.edu/individual/n450295862"|"Phan,Dung T"
"http://vivo.ufl.edu/individual/n815967242"|"Callaway,Pamela Renee"
"http://vivo.ufl.edu/individual/n1157736926"|"Jaramillo,Sergio"
"http://vivo.ufl.edu/individual/n1184307190"|"Boddie,Allen E"
"http://vivo.ufl.edu/individual/n1960462286"|"Sweeney,Christina Joa"
"http://vivo.ufl.edu/individual/n944754293"|"Murphy,Kristin M"
"http://vivo.ufl.edu/individual/n60390976"|"Zarichnyi,Michael"
"http://vivo.ufl.edu/individual/n487275555"|"Cao,Rui"
"http://vivo.ufl.edu/individual/n1227340567"|"De Witt,JOhn"
"http://vivo.ufl.edu/individual/n302847613"|"Mouloua,Mustapha"
"http://vivo.ufl.edu/individual/n1261309729"|"Cholewa,Blaire E"
"http://vivo.ufl.edu/individual/n1829025001"|"Gandhi,Nipa"
"http://vivo.ufl.edu/individual/n1217318531"|"Aitken,Brian Scott"
"http://vivo.ufl.edu/individual/n302267532"|"Schafer,Jennifer L"
"http://vivo.ufl.edu/individual/n26858939"|"Lee,Chunsik"
"http://vivo.ufl.edu/individual/n371670439"|"Bostic,Jonathan D"
"http://vivo.ufl.edu/individual/n1263422196"|"Duermeyer,Joshua A"
"http://vivo.ufl.edu/individual/n566118112"|"Feng,Wei"
